APP6A;MIL2525C;CoT
SHG-EVC---;SHG-EVC---;a-h-g-e-v-c
SHG-ES----;SHG-ES----;a-h-g-e-s
SHG-ESR---;SHG-ESR---;a-h-g-e-s-r
SHG-ESE---;SHG-ESE---;a-h-g-e-s-e
SHG-EXL---;SHG-EXL---;a-h-g-e-x-l
SHG-EXN---;SHG-EXN---;a-h-g-e-x-n
SHG-EXF---;SHG-EXF---;a-h-g-e-x-f
SHG-EXM---;SHG-EXM---;a-h-g-e-x-m
SHG-EXMC--;SHG-EXMC--;a-h-g-e-x-m-c
SHG-EXML--;SHG-EXML--;a-h-g-e-x-m-l
SHG-I-----;SHG-I-----;a-h-g-u
SHG-IR----;SHG-IR----;a-h-g
SHG-IRM---;SHG-IRM---;a-h-g-u
SHG-IRP---;SHG-IRP---;a-h-g-u
SHG-IRN---;SHG-IRN---;a-h-g-u
SHG-IRNB--;SHG-IRNB--;a-h-g-u
SHG-IRNC--;SHG-IRNC--;a-h-g-u
SHG-IRNN--;SHG-IRNN--;a-h-g-u
SHG-IP----;SHG-IP----;a-h-g-u
SHG-IPD---;SHG-IPD---;a-h-g-u
SHG-IE----;SHG-IE----;a-h-g-u
SHG-IU----;SHG-IU----;a-h-g-u
SHG-IUR---;SHG-IUR---;a-h-g-u
SHG-IUT---;SHG-IUT---;a-h-g-u
SHG-IUE---;SHG-IUE---;a-h-g-u
SHG-IUP---;SHG-IUP---;a-h-g-u
SHG-IMF---;SHG-IMF---;a-h-g-u
SHG-IMA---;SHG-IMA---;a-h-g-u
SHG-IME---;SHG-IME---;a-h-g-u
SHG-IMG---;SHG-IMG---;a-h-g-u
SHG-IMV---;SHG-IMV---;a-h-g-u
SHG-IMN---;SHG-IMN---;a-h-g-u
SHG-IMNB--;SHG-IMNB--;a-h-g-u
SHG-IMC---;SHG-IMC---;a-h-g-u
SHG-IMS---;SHG-IMS---;a-h-g-u
SHG-IMM---;SHG-IMM---;a-h-g-u
SHG-IG----;SHG-IG----;a-h-g-u
SHG-IB----;SHG-IB----;a-h-g-u
SHG-IBA---;SHG-IBA---;a-h-g-u
SHG-IBN---;SHG-IBN---;a-h-g-u
SHG-IT----;SHG-IT----;a-h-g-u
SHG-IX----;SHG-IX----;a-h-g-u
SHG-IXH---;SHG-IXH---;a-h-g-i-x-h
SHS-------;SHS-------;a-h-s
SHS-C-----;SHS-C-----;a-h-s-c
SHS-CL----;SHS-CL----;a-h-s-c-l
SHS-CLCV--;SHS-CLCV--;a-h-s-c-l-c-v
SHS-CLBB--;SHS-CLBB--;a-h-s-c-l-b-b
SHS-CLCC--;SHS-CLCC--;a-h-s-c-l-c-c
SHS-CLDD--;SHS-CLDD--;a-h-s-c-l-d-d
SHS-CLFF--;SHS-CLFF--;a-h-s-c-l-f-f
SHS-CA----;SHS-CA----;a-h-s-c-a
SHS-CALA--;SHS-CALA--;a-h-s-c-a-l-a
SHS-CALS--;SHS-CALS--;a-h-s-c-a-l-s
SHS-CALC--;SHS-CALC--;a-h-s-c-a-l-c
SHS-CM----;SHS-CM----;a-h-s-c-m
SHS-CMML--;SHS-CMML--;a-h-s-c-m-m-l
SHS-CMMS--;SHS-CMMS--;a-h-s-c-m-m-s
SHS-CMMH--;SHS-CMMH--;a-h-s-c-m-m-h
SHS-CMMA--;SHS-CMMA--;a-h-s-c-m-m-a
SHS-CMMD--;SHS-CMMA--;a-h-s-c-m-m-a
SHS-CP----;SHS-CP----;a-h-s-c-p
SHS-CPSB--;SHS-CPSB--;a-h-s-c-p-s-b
SHS-CPSU--;SHS-CPSU--;a-h-s-c-p-s-u
SHS-CH----;SHS-CH----;a-h-s-c-h
SHS-S-----;SHS-------;a-h-s
SHS-SP----;SHS-------;a-h-s
SHS-SA----;SHS-------;a-h-s
SHS-G-----;SHS-G-----;a-h-s-g
SHS-GT----;SHS-GT-----;a-h-s-g-t
SHS-GG----;SHS-GG----;a-h-s-g-g
SHS-GU----;SHS-GU----;a-h-s-g-u
SHS-GC----;SHS-GC----;a-h-s-g-c
SHS-N-----;SHS-N-----;a-h-s-n
SHS-NR----;SHS-NR----;a-h-s-n-r
SHS-NF----;SHS-NF----;a-h-s-n-f
SHS-NI----;SHS-NI----;a-h-s-n-i
SHS-NS----;SHS-NS----;a-h-s-n-s
SHS-NM----;SHS-NM----;a-h-s-n-m
SHS-NH----;SHS-NH----;a-h-s-n-h
SHS-NN----;SHS-NN----;a-h-s-n-n
SHS-NNR---;SHS-NNR---;a-h-s-n-n-r
SHS-XM----;SHS-XM----;a-h-s-x-m
SHS-XMC---;SHS-XMC---;a-h-s-x-m-c
SHS-XMR---;SHS-XMR---;a-h-s-x-m-r
SHS-XMO---;SHS-XMO---;a-h-s-x-m-o
SHS-XMTU--;SHS-XMTU--;a-h-s-x-m-t-u
SHS-XMF---;SHS-XMF---;a-h-s-x-m-f
SHS-XMP---;SHS-XMP---;a-h-s-x-m-p
SHS-XMH---;SHS-XMH---;a-h-s-x-m-h
SHS-XMTO--;SHS-XMTO--;a-h-s-x-m-t-o
SHS-XF----;SHS-XF----;a-h-s-x-f
SHS-XFDF--;SHS-XFDF--;a-h-s-x-f-d-f
SHS-XFDR--;SHS-XFDR--;a-h-s-x-f-d-r
SHS-XFTR--;SHS-XFTR--;a-h-s-x-f-t-r
SHS-XR----;SHS-XR----;a-h-s-x-r
SHS-XL----;SHS-XL----;a-h-s-x-l
SHS-XH----;SHS-XH----;a-h-s-x-h
SHS-O-----;SHS-O-----;a-h-s-o
SHS-ED----;GHO-ED----;a-h-s
SHS-EP----;GHO-EP----;a-h-s
SHS-EV----;GHO-EV----;a-h-s
SHS-ZM----;GHO-HM----;a-h-s
SHS-ZN----;GHO-HN----;a-h-s
SHS-ZI----;GHO-HI----;a-h-s
SHU-------;SHU-------;a-h-u
SHU-S-----;SHU-S-----;a-h-u-s
SHU-SN----;SHU-SN----;a-h-u-s-n
SHU-SC----;SHU-SC----;a-h-u-s-c
SHU-SO----;SHU-SO----;a-h-u-s-o
SHU-SS----;SHU-SS----;a-h-u-s-s
SHU-SSA---;SHU-SSA---;a-h-u-s-s-a
SHU-W-----;SHU-W-----;a-h-u-w
SHU-WT----;SHU-WT----;a-h-u-w-t
SHU-WM----;SHU-WM----;a-h-u-w-m
SHU-WMD---;SHU-WMD---;a-h-u-w-m-d
SHU-WMG---;SHU-WMG---;a-h-u-w-m-g
SHU-WMGD--;SHU-WMGD--;a-h-u-w-m-g-d
SHU-WMM---;SHU-WMM---;a-h-u-w-m-m
SHU-WMMD--;SHU-WMMD--;a-h-u-w-m-m-d
SHU-WMF---;SHU-WMF---;a-h-u-w-m-f
SHU-WMFD--;SHU-WMFD--;a-h-u-w-m-f-d
SHU-WMO---;SHU-WMO---;a-h-u-w-m-o
SHU-WMOD--;SHU-WMOD--;a-h-u-w-m-o-d
SHU-WD----;SHU-WD----;a-h-u-w-d
SHU-WDM---;SHU-WDM---;a-h-u-w-d-m
SHU-ND----;SHU-ND----;a-h-u-n-d
SHU-NB----;SHU-N-----;a-h-u-n
SHU-NBS---;GHO-SBM---;a-h-u
SHU-NBR---;GHO-SBN---;a-h-u
SHU-NBW---;SHU-N-----;a-h-u-n
SHU-NM----;GHO-SM----;a-h-u
SHU-NA----;GHO-SS----;a-h-u
SHF-------;SHF-------;a-h-f
SHF-A-----;SHF-A-----;a-h-f-a
SHF-AF----;SHF-AF----;a-h-f-a-f
SHF-AFA---;SHF-AFA---;a-h-f-a-f-a
SHF-AFK---;SHF-AFK---;a-h-f-a-f-k
SHF-AFU---;SHF-AFU---;a-h-f-a-f-u
SHF-AFUL--;SHF-AFUL--;a-h-f-a-f-u-l
SHF-AFUM--;SHF-AFUM--;a-h-f-a-f-u-m
SHF-AFUH--;SHF-AFUH--;a-h-f-a-f-u-h
SHF-AV----;SHF-AV----;a-h-f-a-v
SHF-AH----;SHF-AH----;a-h-f-a-h
SHF-AHH---;SHF-AHH---;a-h-f-a-h-h
SHF-AHA---;SHF-AHA---;a-h-f-a-h-a
SHF-AHU---;SHF-AHU---;a-h-f-a-h-u
SHF-AHUL--;SHF-AHUL--;a-h-f-a-h-u-l
SHF-AHUM--;SHF-AHUM--;a-h-f-a-h-u-m
SHF-AHUH--;SHF-AHUH--;a-h-f-a-h-u-h
SHF-SN----;SHF-N-----;a-h-f-n
SHF-SNS---;SHF-NS----;a-h-f-n-s
SHF-SNU---;SHF-NU----;a-h-f-n-u
SHF-SNB---;SHF-NB----;a-h-f-n-b
SHF-SNN---;SHF-NN----;a-h-f-n-n
SHF-G-----;SHF-G-----;a-h-f-g
SHF-GS----;SHF-GS----;a-h-f-g-s
SHF-GSR---;SHF-GR----;a-h-f-g-r
SHF-GSP---;SHF-GP----;a-h-f-g-p
SHF-GSPA--;SHF-GP----;a-h-f-g-p
SHF-GCA---;SHF-GC----;a-h-f-g-c
SHF-GB----;SHF-B-----;a-h-f-b
SNP-------;SNP-------;a-n-p
SNP-S-----;SNP-S-----;a-n-p-s
SNP-V-----;SNP-V-----;a-n-p-v
SNP-T-----;SNP-T-----;a-n-p-t
SNA-------;SNA-------;a-n-a
SNA-M-----;SNA-M-----;a-n-a-m
SNA-MF----;SNA-MF----;a-n-a-m-f
SNA-MFB---;SNA-MFB---;a-n-a-m-f-b
SNA-MFF---;SNA-MFF---;a-n-a-m-f-f
SNA-MFFI--;SNA-MFFI--;a-n-a-m-f-f-i
SNA-MFT---;SNA-MFT---;a-n-a-m-f-t
SNA-MFA---;SNA-MFA---;a-n-a-m-f-a
SNA-MFL---;SNA-MFL---;a-n-a-m-f-l
SNA-MFK---;SNA-MFK---;a-n-a-m-f-k
SNA-MFC---;SNA-MFC---;a-n-a-m-f-c
SNA-MFCL--;SNA-MFCL--;a-n-a-m-f-c-l
SNA-MFCM--;SNA-MFCM--;a-n-a-m-f-c-m
SNA-MFCH--;SNA-MFCH--;a-n-a-m-f-c-h
SNA-MFJ---;SNA-MFJ---;a-n-a-m-f-j
SNA-MFO---;SNA-MFO---;a-n-a-m-f-o
SNA-MFR---;SNA-MFR---;a-n-a-m-f-r
SNA-MFRW--;SNA-MFRW--;a-n-a-m-f-r-w
SNA-MFRZ--;SNA-MFRZ--;a-n-a-m-f-r-z
SNA-MFRX--;SNA-MFRX--;a-n-a-m-f-r-x
SNA-MFP---;SNA-MFP---;a-n-a-m-f-p
SNA-MFPN--;SNA-MFPN--;a-n-a-m-f-p-n
SNA-MFPM--;SNA-MFPM--;a-n-a-m-f-p-m
SNA-MFU---;SNA-MFU---;a-n-a-m-f-u
SNA-MFUL--;SNA-MFUL--;a-n-a-m-f-u-l
SNA-MFUM--;SNA-MFUM--;a-n-a-m-f-u-m
SNA-MFUH--;SNA-MFUH--;a-n-a-m-f-u-h
SNA-MFY---;SNA-MFY---;a-n-a-m-f-y
SNA-MFH---;SNA-MFH---;a-n-a-m-f-h
SNA-MFD---;SNA-MFD---;a-n-a-m-f-d
SNA-MFQ---;SNA-MFQ---;a-n-a-m-f-q
SNA-MFS---;SNA-MFS---;a-n-a-m-f-s
SNA-MFM---;SNA-MFM---;a-n-a-m-f-m
SNA-MH----;SNA-MH----;a-n-a-m-h
SNA-MHA---;SNA-MHA---;a-n-a-m-h-a
SNA-MHS---;SNA-MHS---;a-n-a-m-h-s
SNA-MHU---;SNA-MHU---;a-n-a-m-h-u
SNA-MHUL--;SNA-MHUL--;a-n-a-m-h-u-l
SNA-MHUM--;SNA-MHUM--;a-n-a-m-h-u-m
SNA-MHUH--;SNA-MHUH--;a-n-a-m-h-u-h
SNA-MHI---;SNA-MHI---;a-n-a-m-h-i
SNA-MHH---;SNA-MHH---;a-n-a-m-h-h
SNA-MHR---;SNA-MHR---;a-n-a-m-h-r
SNA-MHQ---;SNA-MHQ---;a-n-a-m-h-q
SNA-MHC---;SNA-MHC---;a-n-a-m-h-c
SNA-MHCL--;SNA-MHCL--;a-n-a-m-h-c-l
SNA-MHCM--;SNA-MHCM--;a-n-a-m-h-c-m
SNA-MHCH--;SNA-MHCH--;a-n-a-m-h-c-h
SNA-MHT---;SNA-MHT---;a-n-a-m-h-t
SNA-MHO---;SNA-MHO---;a-n-a-m-h-o
SNA-MHM---;SNA-MHM---;a-n-a-m-h-m
SNA-MHD---;SNA-MHD---;a-n-a-m-h-d
SNA-MHK---;SNA-MHK---;a-n-a-m-h-k
SNA-MHJ---;SNA-MHJ---;a-n-a-m-h-j
SNA-ML----;SNA-ML----;a-n-a-m-l
SNA-W-----;SNA-W-----;a-n-a-w
SNA-WM----;SNA-WM----;a-n-a-w-m
SNA-WMS---;SNA-WMS---;a-n-a-w-m-s
SNA-WMSS--;SNA-WMSS--;a-n-a-w-m-s-s
SNA-WMSA--;SNA-WMSA--;a-n-a-w-m-s-a
SNA-WMA---;SNA-WMA---;a-n-a-w-m-a
SNA-WMAS--;SNA-WMAS--;a-n-a-w-m-a-s
SNA-WMAA--;SNA-WMAA--;a-n-a-w-m-a-a
SNA-WMU---;SNA-WMU---;a-n-a-w-m-u
SNA-WML---;SNA-WM----;a-n-a-w-m
SNA-WD----;SNA-WD----;a-n-a-w-d
SNA-C-----;SNA-C-----;a-n-a-c
SNA-CF----;SNA-CF----;a-n-a-c-f
SNA-CH----;SNA-CH----;a-n-a-c-h
SNA-CL----;SNA-CL----;a-n-a-c-l
SNG-------;SNG--------;a-n-g
SNG-U-----;SNG-U-----;a-n-g-u
SNG-UC----;SNG-UC----;a-n-g-u-c
SNG-UCD---;SNG-UCD---;a-n-g-u-c-d
SNG-UCDS--;SNG-UCDS--;a-n-g-u-c-d-s
SNG-UCDSC-;SNG-UCDSC-;a-n-g-p-u-c-d-s-c
SNG-UCDSS-;SNG-UCDSS-;a-n-g-p-u-c-d-s-s
SNG-UCDSV-;SNG-UCDSV-;a-n-g-p-u-c-d-s-v
SNG-UCDM--;SNG-UCDM--;a-n-g-u-c-d-m
SNG-UCDML-;SNG-UCDML-;a-n-g-u-c-d-m-l
SNG-UCDMLA;SNG-UCDMLA;a-n-g-u-c-d-m-l-a
SNG-UCDMM-;SNG-UCDMM-;a-n-g-u-c-d-m-m
SNG-UCDMH-;SNG-UCDMH-;a-n-g-u-c-d-m-h
SNG-UCDH--;SNG-UCDH--;a-n-g-u-c-d-h
SNG-UCDHH-;SNG-UCDHH-;a-n-g-p-u-c-d-s
SNG-UCDHP-;SNG-UCDHP-;a-n-g-p-u-c-d-s
SNG-UCDG--;SNG-UCDG--;a-n-g-u-c-d-g
SNG-UCDC--;SNG-UCDC--;a-n-g-u-c-d-c
SNG-UCDT--;SNG-UCDT--;a-n-g-u-c-d-t
SNG-UCDO--;SNG-UCDO--;a-n-g-u-c-d-o
SNG-UCA---;SNG-UCA---;a-n-g-u-c-a
SNG-UCAT--;SNG-UCAT--;a-n-g-u-c-a-t
SNG-UCATA-;SNG-UCATA-;a-n-g-u-c-a-t-a
SNG-UCATW-;SNG-UCATW-;a-n-g-u-c-a-t-w
SNG-UCATWR;SNG-UCATWR;a-n-g-u-c-a-t-w-r
SNG-UCATL-;SNG-UCATL-;a-n-g-u-c-a-t-l
SNG-UCATM-;SNG-UCATM-;a-n-g-u-c-a-t-m
SNG-UCATH-;SNG-UCATH-;a-n-g-u-c-a-t-h
SNG-UCATR-;SNG-UCATR-;a-n-g-u-c-a-t-r
SNG-UCAW--;SNG-UCAW--;a-n-g-u-c-a-w
SNG-UCAWS-;SNG-UCAWS-;a-n-g-u-c-a-w-s
SNG-UCAWA-;SNG-UCAWA-;a-n-g-u-c-a-w-a
SNG-UCAWW-;SNG-UCAWW-;a-n-g-u-c-a-w-w
SNG-UCAWWR;SNG-UCAWWR;a-n-g-u-c-a-w-w-r
SNG-UCAWL-;SNG-UCAWL-;a-n-g-u-c-a-w-l
SNG-UCAWM-;SNG-UCAWM-;a-n-g-u-c-a-w-m
SNG-UCAWH-;SNG-UCAWH-;a-n-g-u-c-a-w-h
SNG-UCAWR-;SNG-UCAWR-;a-n-g-u-c-a-w-r
SNG-UCAA--;SNG-UCAA--;a-n-g-u-c-a-a
SNG-UCAAD-;SNG-UCAAD-;a-n-g-u-c-a-a-d
SNG-UCAAL-;SNG-UCAAL-;a-n-g-u-c-a-a-l
SNG-UCAAM-;SNG-UCAAM-;a-n-g-u-c-a-a-m
SNG-UCAAS-;SNG-UCAAS-;a-n-g-u-c-a-a-s
SNG-UCAAU-;SNG-UCAAU-;a-n-g-u-c-a-a-u
SNG-UCAAC-;SNG-UCAAC-;a-n-g-u-c-a-a-c
SNG-UCAAA-;SNG-UCAAA-;a-n-g-u-c-a-a-a
SNG-UCAAAT;SNG-UCAAAT;a-n-g-u-c-a-a-a-t
SNG-UCAAAW;SNG-UCAAAW;a-n-g-u-c-a-a-a-w
SNG-UCAAAS;SNG-UCAAAS;a-n-g-u-c-a-a-a-s
SNG-UCAAO-;SNG-UCAAO-;a-n-g-u-c-a-a-o
SNG-UCAAOS;SNG-UCAAOS;a-n-g-u-c-a-a-o-s
SNG-UCV---;SNG-UCV---;a-n-g-u-c-v
SNG-UCVF--;SNG-UCVF--;a-n-g-u-c-v-f
SNG-UCVFU-;SNG-UCVFU-;a-n-g-u-c-v-f-u
SNG-UCVFA-;SNG-UCVFA-;a-n-g-u-c-v-f-a
SNG-UCVFR-;SNG-UCVFR-;a-n-g-u-c-v-f-r
SNG-UCVR--;SNG-UCVR--;a-n-g-u-c-v-r
SNG-UCVRA-;SNG-UCVRA-;a-n-g-u-c-v-r-a
SNG-UCVRS-;SNG-UCVRS-;a-n-g-u-c-v-r-s
SNG-UCVRW-;SNG-UCVRW-;a-n-g-u-c-v-r-w
SNG-UCVRU-;SNG-UCVRU-;a-n-g-u-c-v-r-u
SNG-UCVRUL;SNG-UCVRUL;a-n-g-u-c-v-r-u-l
SNG-UCVRUM;SNG-UCVRUM;a-n-g-u-c-v-r-u-m
SNG-UCVRUH;SNG-UCVRUH;a-n-g-u-c-v-r-u-h
SNG-UCVRUC;SNG-UCVRUC;a-n-g-u-c-v-r-u-c
SNG-UCVRUE;SNG-UCVRUE;a-n-g-u-c-v-r-u-e
SNG-UCVRM-;SNG-UCVRM-;a-n-g-u-c-v-r-m
SNG-UCVS--;SNG-UCVS--;a-n-g-u-c-v-s
SNG-UCVC--;SNG-UCVC--;a-n-g-u-c-v-c
SNG-UCVV--;SNG-UCVV--;a-n-g-u-c-v-v
SNG-UCVU--;SNG-UCVU--;a-n-g-u-c-v-u
SNG-UCVUF-;SNG-UCVUF-;a-n-g-u-c-v-u-f
SNG-UCVUR-;SNG-UCVUR-;a-n-g-u-c-v-u-r
SNG-UCI---;SNG-UCI---;a-n-g-u-c-i
SNG-UCIL--;SNG-UCIL--;a-n-g-u-c-i-l
SNG-UCIM--;SNG-UCIM--;a-n-g-u-c-i-m
SNG-UCIO--;SNG-UCIO--;a-n-g-u-c-i-o
SNG-UCIA--;SNG-UCIA--;a-n-g-u-c-i-a
SNG-UCIS--;SNG-UCIS--;a-n-g-u-c-i-s
SNG-UCIZ--;SNG-UCIZ--;a-n-g-u-c-i-z
SNG-UCIN--;SNG-UCIN--;a-n-g-u-c-i-n
SNG-UCII--;SNG-UCII--;a-n-g-u-c-i-i
SNG-UCIC--;SNG-UCIC--;a-n-g-u-c-i-c
SNG-UCE---;SNG-UCE---;a-n-g-u-c-e
SNG-UCEC--;SNG-UCEC--;a-n-g-u-c-e-c
SNG-UCECS-;SNG-UCECS-;a-n-g-u-c-e-c-s
SNG-UCECA-;SNG-UCECA-;a-n-g-u-c-e-c-a
SNG-UCECC-;SNG-UCECC-;a-n-g-u-c-e-c-c
SNG-UCECL-;SNG-UCECL-;a-n-g-u-c-e-c-l
SNG-UCECM-;SNG-UCECM-;a-n-g-u-c-e-c-m
SNG-UCECH-;SNG-UCECH-;a-n-g-u-c-e-c-h
SNG-UCECT-;SNG-UCECT-;a-n-g-u-c-e-c-t
SNG-UCECW-;SNG-UCECW-;a-n-g-u-c-e-c-w
SNG-UCECO-;SNG-UCECO-;a-n-g-u-c-e-c-o
SNG-UCECR-;SNG-UCECR-;a-n-g-u-c-e-c-r
SNG-UCEN--;SNG-UCEN--;a-n-g-u-c-e-n
SNG-UCENN-;SNG-UCENN-;a-n-g-u-c-e-n-n
SNG-UCF---;SNG-UCF---;a-n-g-u-c-f
SNG-UCFH--;SNG-UCFH--;a-n-g-u-c-f-h
SNG-UCFHE-;SNG-UCFHE-;a-n-g-u-c-f-h-e
SNG-UCFHS-;SNG-UCFHS-;a-n-g-u-c-f-h-s
SNG-UCFHA-;SNG-UCFHA-;a-n-g-u-c-f-h-a
SNG-UCFHC-;SNG-UCFHC-;a-n-g-u-c-f-h-c
SNG-UCFHO-;SNG-UCFHO-;a-n-g-u-c-f-h-o
SNG-UCFHL-;SNG-UCFHL-;a-n-g-u-c-f-h-l
SNG-UCFHM-;SNG-UCFHM-;a-n-g-u-c-f-h-m
SNG-UCFHH-;SNG-UCFHH-;a-n-g-u-c-f-h-h
SNG-UCFHX-;SNG-UCFHX-;a-n-g-u-c-f-h-x
SNG-UCFR--;SNG-UCFR--;a-n-g-u-c-f-r
SNG-UCFRS-;SNG-UCFRS-;a-n-g-u-c-f-r-s
SNG-UCFRSS;SNG-UCFRSS;a-n-g-u-c-f-r-s-s
SNG-UCFRSR;SNG-UCFRSR;a-n-g-u-c-f-r-s-r
SNG-UCFRST;SNG-UCFRST;a-n-g-u-c-f-r-s-t
SNG-UCFRM-;SNG-UCFRM-;a-n-g-u-c-f-r-m
SNG-UCFRMS;SNG-UCFRMS;a-n-g-u-c-f-r-m-s
SNG-UCFRMR;SNG-UCFRMR;a-n-g-u-c-f-r-m-r
SNG-UCFRMT;SNG-UCFRMT;a-n-g-u-c-f-r-m-t
SNG-UCFT--;SNG-UCFT--;a-n-g-u-c-f-t
SNG-UCFTR-;SNG-UCFTR-;a-n-g-u-c-f-t-r
SNG-UCFTS-;SNG-UCFTS-;a-n-g-u-c-f-t-s
SNG-UCFTF-;SNG-UCFTF-;a-n-g-u-c-f-t-f
SNG-UCFTC-;SNG-UCFTC-;a-n-g-u-c-f-t-c
SNG-UCFTCD;SNG-UCFTCD;a-n-g-u-c-f-t-c-d
SNG-UCFTCM;SNG-UCFTCM;a-n-g-u-c-f-t-c-m
SNG-UCFTA-;SNG-UCFTA-;a-n-g-u-c-f-t-a
SNG-UCFM--;SNG-UCFM--;a-n-g-u-c-f-m
SNG-UCFMS-;SNG-UCFMS-;a-n-g-u-c-f-m-s
SNG-UCFMSW;SNG-UCFMW-;a-n-g-u-c-f-m-w
SNG-UCFMT-;SNG-UCFMT-;a-n-g-u-c-f-m-t
SNG-UCFMTA;SNG-UCFMTA;a-n-g-u-c-f-m-t-a
SNG-UCFMTS;SNG-UCFMTS;a-n-g-u-c-f-m-t-s
SNG-UCFMTC;SNG-UCFMTC;a-n-g-u-c-f-m-t-c
SNG-UCFMTO;SNG-UCFMTO;a-n-g-u-c-f-m-t-o
SNG-UCFML-;SNG-UCFML-;a-n-g-u-c-f-m-l
SNG-UCFS--;SNG-UCFS--;a-n-g-u-c-f-s
SNG-UCFSS-;SNG-UCFSS-;a-n-g-u-c-f-s-s
SNG-UCFSA-;SNG-UCFSA-;a-n-g-u-c-f-s-a
SNG-UCFSL-;SNG-UCFSL-;a-n-g-u-c-f-s-l
SNG-UCFSO-;SNG-UCFSO-;a-n-g-u-c-f-s-o
SNG-UCFO--;SNG-UCFO--;a-n-g-u-c-f-o
SNG-UCFOS-;SNG-UCFOS-;a-n-g-u-c-f-o-s
SNG-UCFOA-;SNG-UCFOA-;a-n-g-u-c-f-o-a
SNG-UCFOL-;SNG-UCFOL-;a-n-g-u-c-f-o-l
SNG-UCFOO-;SNG-UCFOO-;a-n-g-u-c-f-o-o
SNG-UCR---;SNG-UCR---;a-n-g-u-c-r
SNG-UCRH--;SNG-UCRH--;a-n-g-u-c-r-h
SNG-UCRV--;SNG-UCRV--;a-n-g-u-c-r-v
SNG-UCRVA-;SNG-UCRVA-;a-n-g-u-c-r-v-a
SNG-UCRVM-;SNG-UCRVM-;a-n-g-u-c-r-v-m
SNG-UCRVG-;SNG-UCRVG-;a-n-g-u-c-r-v-g
SNG-UCRVO-;SNG-UCRVO-;a-n-g-u-c-r-v-o
SNG-UCRC--;SNG-UCRC--;a-n-g-u-c-r-c
SNG-UCRS--;SNG-UCRS--;a-n-g-u-c-r-s
SNG-UCRA--;SNG-UCRA--;a-n-g-u-c-r-a
SNG-UCRO--;SNG-UCRO--;a-n-g-u-c-r-o
SNG-UCRL--;SNG-UCRL--;a-n-g-u-c-r-l
SNG-UCRR--;SNG-UCRR--;a-n-g-u-c-r-r
SNG-UCRRD-;SNG-UCRRD-;a-n-g-u-c-r-r-d
SNG-UCRRF-;SNG-UCRRF-;a-n-g-u-c-r-r-f
SNG-UCRRL-;SNG-UCRRL-;a-n-g-u-c-r-r-l
SNG-UCRX--;SNG-UCRX--;a-n-g-u-c-r-x
SNG-UCM---;SNG-UCM---;a-n-g-u-c-m
SNG-UCMT--;SNG-UCMT--;a-n-g-u-c-m-t
SNG-UCMS--;SNG-UCMS--;a-n-g-u-c-m-s
SNG-UCS---;SNG-UCS---;a-n-g-u-c-s
SNG-UCSW--;SNG-UCSW--;a-n-g-u-c-s-w
SNG-UCSG--;SNG-UCSG--;a-n-g-u-c-s-g
SNG-UCSGD-;SNG-UCSGD-;a-n-g-u-c-s-g-d
SNG-UCSGM-;SNG-UCSGM-;a-n-g-u-c-s-g-m
SNG-UCSGA-;SNG-UCSGA-;a-n-g-u-c-s-g-a
SNG-UCSM--;SNG-UCSM--;a-n-g-u-c-s-m
SNG-UCSR--;SNG-UCSR--;a-n-g-u-c-s-r
SNG-UCSA--;SNG-UCSA--;a-n-g-u-c-s-a
SNG-UU----;SNG-UU----;a-n-g-u-u
SNG-UUA---;SNG-UUA---;a-n-g-u-u-a
SNG-UUAC--;SNG-UUAC--;a-n-g-u-u-a-c
SNG-UUACC-;SNG-UUACC-;a-n-g-u-u-a-c-c
SNG-UUACCK;SNG-UUACCK;a-n-g-u-u-a-c-c-k
SNG-UUACCM;SNG-UUACCM;a-n-g-u-u-a-c-c-m
SNG-UUACS-;SNG-UUACS-;a-n-g-u-u-a-c-s
SNG-UUACSM;SNG-UUACSM;a-n-g-u-u-a-c-s-m
SNG-UUACSA;SNG-UUACSA;a-n-g-u-u-a-c-s-a
SNG-UUACR-;SNG-UUACR-;a-n-g-u-u-a-c-r
SNG-UUACRW;SNG-UUACRW;a-n-g-u-u-a-c-r-w
SNG-UUACRS;SNG-UUACRS;a-n-g-u-u-a-c-r-s
SNG-UUAN--;SNG-UUAN--;a-n-g-u-u-a-n
SNG-UUAB--;SNG-UUAB--;a-n-g-u-u-a-b
SNG-UUABR-;SNG-UUABR-;a-n-g-u-u-a-b-r
SNG-UUAD--;SNG-UUAD--;a-n-g-u-u-a-d
SNG-UUM---;SNG-UUM---;a-n-g-u-u-m
SNG-UUMA--;SNG-UUMA--;a-n-g-u-u-m-a
SNG-UUMS--;SNG-UUMS--;a-n-g-u-u-m-s
SNG-UUMSE-;SNG-UUMSE-;a-n-g-u-u-m-s-e
SNG-UUMSEA;SNG-UUMSEA;a-n-g-u-u-m-s-e-a
SNG-UUMSED;SNG-UUMSED;a-n-g-u-u-m-s-e-d
SNG-UUMSEI;SNG-UUMSEI;a-n-g-u-u-m-s-e-i
SNG-UUMSEJ;SNG-UUMSEJ;a-n-g-u-u-m-s-e-j
SNG-UUMSET;SNG-UUMSET;a-n-g-u-u-m-s-e-t
SNG-UUMSEC;SNG-UUMSEC;a-n-g-u-u-m-s-e-c
SNG-UUMC--;SNG-UUMC--;a-n-g-u-u-m-c
SNG-UUMR--;SNG-UUMR--;a-n-g-u-u-m-r
